panel,clip_score
1,30.07916831970215
2,36.265625
3,37.69993591308594
4,31.59007453918457
5,33.21675491333008
6,37.86079406738281
7,28.11988067626953
8,38.75088119506836
9,38.38459777832031
10,36.81718063354492
11,35.27140426635742
12,37.09825134277344
13,37.88979721069336
14,33.839752197265625
