panel,clip_score,,,,Final Story Perplexity: 25.0306
0,30.773868560791016,,,,
1,29.725736618041992,,,,
2,35.59321594238281,,,,
3,37.67627716064453,,,,
4,30.299768447875977,,,,
5,34.04925537109375,,,,
6,32.96049880981445,,,,
7,33.57231140136719,,,,
8,35.84737014770508,,,,
9,26.293182373046875,,,,
10,33.81340026855469,,,,
11,31.53742027282715,,,,
12,34.83256530761719,,,,
13,31.36493492126465,,,,
